#SAY.fc_learn.9.Papa Bear
To win the spelling bee you have to spell 3 words correctly. We will learn 10 words now that will be in the spelling bee.

#SAY.fc_learn.6.Papa Bear
This is how you spell "CUP"... C... U... P

#SAY.fc_learn.16.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.40.Papa Bear
This is how you spell "HUT"... H... U... T

#SAY.fc_learn.37.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.39.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.65.Papa Bear
This is how you spell "RAT"... R... A... T

#SAY.fc_learn.99.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.101.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.103.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.200.Papa Bear
This is how you spell "OWL"... O... W... L

#SAY.fc_learn.201.Papa Bear
This is how you spell "SUN"... S... U... N

#SAY.fc_learn.202.Papa Bear
This is how you spell "HAT"... H... A... T

#SAY.fc_learn.203.Papa Bear
This is how you spell "LOG"... L... O... G

#SAY.fc_learn.204.Papa Bear
This is how you spell "BED"... B... E... D

#SAY.fc_learn.205.Papa Bear
This is how you spell "ICE"... I... C... E

#SAY.fc_learn.206.Papa Bear
This is how you spell "SAW"... S... A... W

#SAY.fc_learn.161.Papa Bear
Good job! Now you are ready for the spelling bee!

#SAY.fc_learn.195.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.197.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.199.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.235.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.237.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.239.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.250.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.270.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.272.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.320.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.322.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.324.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.353.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.355.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.357.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.386.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.388.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.390.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.419.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.421.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.423.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.452.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.454.Papa Bear
Try to drag the letters into the matching spot.

#SAY.fc_learn.456.Papa Bear
Try to drag the letters into the matching spot.

#CHARACTER.Pigme
Pigme

#SAY._CommandCopyBuffer.1553.
To win you have to spell {$diff_str} words correctly! Good luck!

#CHARACTER.Papa Bear
Papa Bear

